month,table,城市,环比,同比,1-10月平均,90m2及以下-环比,90m2及以下-同比,90m2及以下-1-10月平均,90-144m2-环比,90-144m2-同比,90-144m2-1-10月平均,144m2以上-环比,144m2以上-同比,144m2以上-1-10月平均,1-12月平均,90m2及以下-1-12月平均,90-144m2-1-12月平均,144m2以上-1-12月平均,1-11月平均,90m2及以下-1-11月平均,90-144m2-1-11月平均,144m2以上-1-11月平均,1-9月平均,90m2及以下-1-9月平均,90-144m2-1-9月平均,144m2以上-1-9月平均,1-8月平均,90m2及以下-1-8月平均,90-144m2-1-8月平均,144m2以上-1-8月平均,1-7月平均,90m2及以下-1-7月平均,90-144m2-1-7月平均,144m2以上-1-7月平均,1-5月平均,90m2及以下-1-5月平均,90-144m2-1-5月平均,144m2以上-1-5月平均,1-4月平均,90m2及以下-1-4月平均,90-144m2-1-4月平均,144m2以上-1-4月平均,累计,90m2及以下-累计,90-144m2-累计,144m2以上-累计,定基,90m2及以下-定基,90-144m2-定基,144m2以上-定基
2025-10,new_home_category_2,唐山,,,,99.5,93.6,92.6,99.2,94.5,93.4,99.5,93.4,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,秦皇岛,,,,99.7,94.7,93.8,99.9,95.7,94.2,99.5,94.7,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,包头,,,,99.5,93.8,94.8,99.2,94.3,93.8,99.4,93.4,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,丹东,,,,99.8,95.8,94.5,100.0,96.7,95.0,99.9,96.1,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,锦州,,,,99.7,97.4,94.9,99.6,97.4,96.7,99.0,95.3,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,吉林,,,,99.8,95.7,94.4,99.6,96.4,95.3,99.9,96.9,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,牡丹江,,,,99.5,96.9,94.9,99.8,97.6,94.7,99.9,96.8,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,无锡,,,,99.5,97.7,96.4,99.2,95.5,96.1,99.7,97.6,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,徐州,,,,100.0,94.5,93.7,99.0,95.4,95.0,99.3,95.6,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,扬州,,,,99.3,94.6,93.7,99.5,94.8,94.1,99.1,94.0,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,温州,,,,99.4,96.1,93.0,99.3,96.2,93.2,99.3,96.0,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,金华,,,,99.3,97.6,93.5,99.1,97.0,93.4,99.4,96.7,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,蚌埠,,,,99.3,96.5,95.4,99.7,96.5,94.6,99.4,95.2,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,安庆,,,,99.7,98.3,97.1,99.6,96.1,94.9,99.7,95.4,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,泉州,,,,99.8,99.1,95.4,99.4,96.9,94.3,99.9,98.7,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,九江,,,,99.0,95.5,94.9,99.0,96.0,95.3,99.4,95.6,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,赣州,,,,100.0,99.0,96.4,99.8,97.8,96.4,99.7,98.1,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,烟台,,,,99.3,94.9,94.0,99.7,96.4,95.4,99.8,95.4,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,济宁,,,,99.7,96.9,95.4,99.6,96.7,96.4,99.9,96.4,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,洛阳,,,,99.3,96.5,95.5,99.5,97.1,95.2,99.8,97.4,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,平顶山,,,,99.5,99.7,99.5,99.9,99.4,99.0,100.0,99.8,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,宜昌,,,,99.8,100.1,97.6,99.8,100.6,98.1,99.7,100.2,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,襄阳,,,,98.9,94.3,95.3,99.3,96.1,95.1,99.1,95.9,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,岳阳,,,,99.2,95.8,93.7,99.4,95.5,94.5,99.5,95.6,94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,常德,,,,99.1,96.0,94.0,99.4,96.8,94.6,99.3,96.2,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,韶关,,,,100.0,96.3,95.8,100.3,97.5,95.5,100.3,97.2,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,湛江,,,,99.0,98.2,96.1,98.9,98.2,96.3,99.3,97.3,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,惠州,,,,99.0,96.2,95.0,99.1,97.5,95.8,98.9,96.7,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,桂林,,,,99.4,96.7,97.2,99.5,96.7,96.5,99.5,96.2,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,北海,,,,99.5,94.6,94.2,99.7,94.6,93.6,99.6,94.1,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,三亚,,,,99.6,100.0,98.4,99.3,99.9,98.1,99.9,99.7,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,泸州,,,,99.8,95.2,94.0,99.3,95.1,93.6,99.5,95.7,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,南充,,,,99.9,98.2,97.4,99.7,97.9,97.3,99.9,97.3,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,遵义,,,,99.5,98.4,97.2,99.5,97.2,96.8,99.2,96.6,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,new_home_category_2,大理,,,,99.4,96.3,93.4,99.9,95.5,94.6,99.2,96.1,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
