month,table,城市,环比,同比,1-10月平均,90m2及以下-环比,90m2及以下-同比,90m2及以下-1-10月平均,90-144m2-环比,90-144m2-同比,90-144m2-1-10月平均,144m2以上-环比,144m2以上-同比,144m2以上-1-10月平均,1-12月平均,90m2及以下-1-12月平均,90-144m2-1-12月平均,144m2以上-1-12月平均,1-11月平均,90m2及以下-1-11月平均,90-144m2-1-11月平均,144m2以上-1-11月平均,1-9月平均,90m2及以下-1-9月平均,90-144m2-1-9月平均,144m2以上-1-9月平均,1-8月平均,90m2及以下-1-8月平均,90-144m2-1-8月平均,144m2以上-1-8月平均,1-7月平均,90m2及以下-1-7月平均,90-144m2-1-7月平均,144m2以上-1-7月平均,1-5月平均,90m2及以下-1-5月平均,90-144m2-1-5月平均,144m2以上-1-5月平均,1-4月平均,90m2及以下-1-4月平均,90-144m2-1-4月平均,144m2以上-1-4月平均,累计,90m2及以下-累计,90-144m2-累计,144m2以上-累计,定基,90m2及以下-定基,90-144m2-定基,144m2以上-定基
2025-10,second_hand_category_1,北京,,,,98.9,94.7,97.4,99.1,95.7,97.3,98.9,96.5,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,天津,,,,99.7,96.7,96.0,99.3,96.7,95.9,99.4,96.0,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,石家庄,,,,99.4,95.0,93.7,99.7,95.4,94.3,99.4,94.5,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,太原,,,,99.7,96.1,95.5,99.7,96.0,95.5,99.8,94.9,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,呼和浩特,,,,99.5,93.2,90.7,99.3,93.3,90.6,99.7,93.2,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,沈阳,,,,99.8,96.0,94.5,99.7,96.2,95.6,100.0,96.1,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,大连,,,,99.4,94.8,93.5,99.8,94.9,91.8,99.7,94.5,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,长春,,,,99.2,94.4,93.3,99.6,95.9,95.1,99.5,93.6,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,哈尔滨,,,,99.1,94.4,92.5,99.8,94.6,93.6,99.9,93.9,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,second_hand_category_1,上海,,,,98.8,96.4,97.6,99.1,96.6,98.8,99.7,97.1,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
