month,city,house_type,segment,value
2016-01,三亚,二手房,144m2以上,99.8
2016-02,三亚,二手房,144m2以上,100.0994
2016-03,三亚,二手房,144m2以上,100.8001
2016-04,三亚,二手房,144m2以上,100.3969
2016-05,三亚,二手房,144m2以上,100.2965
2016-06,三亚,二手房,144m2以上,100.3968
2016-07,三亚,二手房,144m2以上,100.2964
2016-08,三亚,二手房,144m2以上,100.2964
2016-09,三亚,二手房,144m2以上,100.497
2016-10,三亚,二手房,144m2以上,100.9995
2016-11,三亚,二手房,144m2以上,101.6055
2016-12,三亚,二手房,144m2以上,101.6055
2017-01,三亚,二手房,144m2以上,102.7231
2017-02,三亚,二手房,144m2以上,103.4422
2017-03,三亚,二手房,144m2以上,104.4766
2017-04,三亚,二手房,144m2以上,104.4766
2017-05,三亚,二手房,144m2以上,103.1184
2017-06,三亚,二手房,144m2以上,101.9841
2017-07,三亚,二手房,144m2以上,101.9841
2017-08,三亚,二手房,144m2以上,102.494
2017-09,三亚,二手房,144m2以上,102.494
2017-10,三亚,二手房,144m2以上,103.109
2017-11,三亚,二手房,144m2以上,104.3463
2017-12,三亚,二手房,144m2以上,104.3463
2018-01,三亚,二手房,144m2以上,104.4507
2018-02,三亚,二手房,144m2以上,104.5551
2018-03,三亚,二手房,144m2以上,105.1824
2018-04,三亚,二手房,144m2以上,106.7602
2018-05,三亚,二手房,144m2以上,108.0413
2018-06,三亚,二手房,144m2以上,109.1217
2018-07,三亚,二手房,144m2以上,111.6315
2018-08,三亚,二手房,144m2以上,113.9758
2018-09,三亚,二手房,144m2以上,114.4317
2018-10,三亚,二手房,144m2以上,114.4317
2018-11,三亚,二手房,144m2以上,114.5461
2018-12,三亚,二手房,144m2以上,115.3479
2019-01,三亚,二手房,144m2以上,116.6168
2019-02,三亚,二手房,144m2以上,116.7334
2019-03,三亚,二手房,144m2以上,118.6011
2019-04,三亚,二手房,144m2以上,118.9569
2019-05,三亚,二手房,144m2以上,119.3138
2019-06,三亚,二手房,144m2以上,118.3593
2019-07,三亚,二手房,144m2以上,117.7675
2019-08,三亚,二手房,144m2以上,118.003
2019-09,三亚,二手房,144m2以上,118.357
2019-10,三亚,二手房,144m2以上,117.7652
2019-11,三亚,二手房,144m2以上,117.5297
2019-12,三亚,二手房,144m2以上,117.9998
2020-01,三亚,二手房,144m2以上,117.8818
2020-02,三亚,二手房,144m2以上,117.8818
2020-03,三亚,二手房,144m2以上,117.9997
2020-04,三亚,二手房,144m2以上,117.5277
2020-05,三亚,二手房,144m2以上,116.47
2020-06,三亚,二手房,144m2以上,116.9358
2020-07,三亚,二手房,144m2以上,117.0528
2020-08,三亚,二手房,144m2以上,117.7551
2020-09,三亚,二手房,144m2以上,117.9906
2020-10,三亚,二手房,144m2以上,117.4006
2020-11,三亚,二手房,144m2以上,117.8702
2020-12,三亚,二手房,144m2以上,118.3417
2021-01,三亚,二手房,144m2以上,119.1701
2021-02,三亚,二手房,144m2以上,119.8851
2021-03,三亚,二手房,144m2以上,120.2448
2021-04,三亚,二手房,144m2以上,120.6055
2021-05,三亚,二手房,144m2以上,121.4498
2021-06,三亚,二手房,144m2以上,122.1785
2021-07,三亚,二手房,144m2以上,122.6672
2021-08,三亚,二手房,144m2以上,122.6672
2021-09,三亚,二手房,144m2以上,123.0352
2021-10,三亚,二手房,144m2以上,123.1582
2021-11,三亚,二手房,144m2以上,122.7887
2021-12,三亚,二手房,144m2以上,122.1748
2022-01,三亚,二手房,144m2以上,121.6861
2022-02,三亚,二手房,144m2以上,121.9295
2022-03,三亚,二手房,144m2以上,122.5391
2022-04,三亚,二手房,144m2以上,122.294
2022-05,三亚,二手房,144m2以上,122.1717
2022-06,三亚,二手房,144m2以上,122.0496
2022-07,三亚,二手房,144m2以上,121.8055
2022-08,三亚,二手房,144m2以上,121.8055
2022-09,三亚,二手房,144m2以上,121.8055
2022-10,三亚,二手房,144m2以上,121.1965
2022-11,三亚,二手房,144m2以上,120.9541
2022-12,三亚,二手房,144m2以上,120.5912
2023-01,三亚,二手房,144m2以上,120.953
2023-02,三亚,二手房,144m2以上,120.953
2023-03,三亚,二手房,144m2以上,121.4368
2023-04,三亚,二手房,144m2以上,121.3153
2023-05,三亚,二手房,144m2以上,121.4367
2023-06,三亚,二手房,144m2以上,121.4367
2023-07,三亚,二手房,144m2以上,120.8295
2023-08,三亚,二手房,144m2以上,120.467
2023-09,三亚,二手房,144m2以上,120.7079
2023-10,三亚,二手房,144m2以上,121.1908
2023-11,三亚,二手房,144m2以上,120.2212
2023-12,三亚,二手房,144m2以上,119.4999
2024-02,三亚,二手房,144m2以上,119.2609
2024-03,三亚,二手房,144m2以上,119.2609
2024-04,三亚,二手房,144m2以上,118.5453
2024-05,三亚,二手房,144m2以上,118.5453
2024-06,三亚,二手房,144m2以上,118.0712
2024-07,三亚,二手房,144m2以上,117.5989
2024-08,三亚,二手房,144m2以上,116.6581
2024-09,三亚,二手房,144m2以上,115.1415
2024-10,三亚,二手房,144m2以上,113.9901
2024-11,三亚,二手房,144m2以上,112.8502
2024-12,三亚,二手房,144m2以上,111.8346
2025-02,三亚,二手房,144m2以上,111.3872
2025-03,三亚,二手房,144m2以上,110.9417
2025-04,三亚,二手房,144m2以上,110.276
2025-05,三亚,二手房,144m2以上,109.6144
2025-06,三亚,二手房,144m2以上,108.7374
2025-07,三亚,二手房,144m2以上,108.52
2025-08,三亚,二手房,144m2以上,108.4115
2025-09,三亚,二手房,144m2以上,107.5442
2025-10,三亚,二手房,144m2以上,106.5763
2025-11,三亚,二手房,144m2以上,105.1908
2025-12,三亚,二手房,144m2以上,104.1389
2016-01,三亚,二手房,90m2及以下,99.7
2016-02,三亚,二手房,90m2及以下,99.4009
2016-03,三亚,二手房,90m2及以下,99.9973
2016-04,三亚,二手房,90m2及以下,99.7973
2016-05,三亚,二手房,90m2及以下,100.1965
2016-06,三亚,二手房,90m2及以下,100.1965
2016-07,三亚,二手房,90m2及以下,99.9961
2016-08,三亚,二手房,90m2及以下,100.2961
2016-09,三亚,二手房,90m2及以下,100.9982
2016-10,三亚,二手房,90m2及以下,101.3012
2016-11,三亚,二手房,90m2及以下,101.7064
2016-12,三亚,二手房,90m2及以下,102.7234
2017-01,三亚,二手房,90m2及以下,103.6479
2017-02,三亚,二手房,90m2及以下,104.4771
2017-03,三亚,二手房,90m2及以下,106.3577
2017-04,三亚,二手房,90m2及以下,106.0386
2017-05,三亚,二手房,90m2及以下,105.8266
2017-06,三亚,二手房,90m2及以下,105.0858
2017-07,三亚,二手房,90m2及以下,104.7705
2017-08,三亚,二手房,90m2及以下,104.9801
2017-09,三亚,二手房,90m2及以下,105.085
2017-10,三亚,二手房,90m2及以下,105.085
2017-11,三亚,二手房,90m2及以下,105.1901
2017-12,三亚,二手房,90m2及以下,105.7161
2018-01,三亚,二手房,90m2及以下,105.8218
2018-02,三亚,二手房,90m2及以下,105.9276
2018-03,三亚,二手房,90m2及以下,106.881
2018-04,三亚,二手房,90m2及以下,107.736
2018-05,三亚,二手房,90m2及以下,109.5675
2018-06,三亚,二手房,90m2及以下,111.6493
2018-07,三亚,二手房,90m2及以下,115.6687
2018-08,三亚,二手房,90m2及以下,118.2134
2018-09,三亚,二手房,90m2及以下,118.568
2018-10,三亚,二手房,90m2及以下,118.2123
2018-11,三亚,二手房,90m2及以下,118.4488
2018-12,三亚,二手房,90m2及以下,119.041
2019-01,三亚,二手房,90m2及以下,120.2314
2019-02,三亚,二手房,90m2及以下,121.6742
2019-03,三亚,二手房,90m2及以下,122.8909
2019-04,三亚,二手房,90m2及以下,124.3656
2019-05,三亚,二手房,90m2及以下,124.8631
2019-06,三亚,二手房,90m2及以下,123.7393
2019-07,三亚,二手房,90m2及以下,123.2444
2019-08,三亚,二手房,90m2及以下,122.0119
2019-09,三亚,二手房,90m2及以下,120.7918
2019-10,三亚,二手房,90m2及以下,119.9462
2019-11,三亚,二手房,90m2及以下,119.7064
2019-12,三亚,二手房,90m2及以下,119.7064
2020-01,三亚,二手房,90m2及以下,119.8261
2020-02,三亚,二手房,90m2及以下,119.8261
